z	\x467
\x0443	\xA64B
P	Ѱ
p	ѱ
7	\x483
0	\x43e\x301
A	\x430\x300
t	\x47f
э	\x463
H	\x461\x301
h	\x44b\x301
w	\x461
1	\x301
2	\x300
a	\x430\x301
ґ	\x430\x486
D	\x434\x2ded\x487
S	\x467\x300
e	\x435\x301
ё	\x463\x301
3	\x486
Y	\xa64b\x300
y	\xa64b\x301
s	\x467\x301
ў	\x1C82\x443\x486
™	\x442\x483
Ѓ	\x410\x486\x301
ћ	\xa657\x486\x301
o	\x47b
4	\x486\x301
r	\x440\x2ded\x487
9	\x436\x483
‰	\x467\x311
f	\x473
l	\x43b\x483
E	\x435\x300
і	\x456\x308
|	\x467\x486\x300
T	\x47e
†	\x430\x311
k	\xa657\x486
#	\x486
У	\xa64a
џ	\x47b\x486\x301
њ	\x461\x486
Ё	\x463\x301
Ћ	\xa656\x486\x301
ѓ	\x430\x486\x301
6	\x311
ќ	\x1C82\x443\x486\x301
Ў	\x41e\x443\x486
c	\x2ded\x487
Њ	\x460\x486
8	\x33e
Ђ	\x475\x301
5	\x486\x300
i	\x456
©	\x441\x483
C	\x2ded\x487
n	\x47b\x486
